"Cat1","Cat2","Cat3","Cat4","Con1","Con2","Con3","Con4","N","S"
"4","-2","-2","4",-0.746345976175266,-0.0517235961293828,-0.338376495004389,-0.281740158905298,1,0.0514943996947276
"1","4","4","-3",0.387465285769796,2.16369619512544,0.20128772686554,-1.3125596302664,6,8.11554560777986
"4","-2","-3","4",-0.351871802398411,-1.18025192573553,0.602711730889405,0.795183982479322,0,0
"4","-3","4","-3",0.77142061153915,0.944761562494366,-0.22501814832198,0.270070494348895,2,0.101084712266262
"4","4","4","1",-1.43188843040888,0.898057756168698,-0.0101135895261672,-0.27730642214862,7,14.7940977335391
"1","4","-2","4",0.613385167660335,-1.86478421508619,-0.193597244022716,-0.566023738770096,3,0.431340945819075
"4","1","4","4",-1.11115043834346,1.10739639535496,0.00918813692929049,-1.87865825782054,4,5.47696561331019
"1","4","4","-2",-1.83749800852669,1.32381469286299,1.44189926923098,-1.26679114392774,1,0.00134962270174723
"1","1","4","4",1.19903882110626,-0.0589713394441399,0.174693823543872,-0.967749684394237,1,3.11795778288491
"1","4","4","4",-0.00326039002526168,-1.11261184363543,0.472082684444373,-1.1210093615585,5,6.06496981648514
"4","-2","-3","-2",2.47756949888722,0.915127547460749,0.900578193779381,1.32546371206853,0,0
"4","-2","-2","4",-1.74124637595136,1.32155363226792,0.394922134975102,0.133977390821818,1,0.611569521675776
"4","1","4","-2",0.334771483335597,1.51824813369303,0.902169271836226,0.938749445747099,8,21.7285423610475
"4","-2","1","4",-1.13024567155136,0.750503330827103,-0.926077126646422,0.172538101288882,1,0.0154630226277577
"1","1","4","1",2.11378505667418,-1.35260562649258,0.0662943076680874,0.957650446752855,3,1.4950174693098
"-2","-2","-2","4",1.05758146873845,-1.04574298974034,-0.63706784920477,-1.36268624532736,1,0.000947419358912377
"4","4","1","4",0.918427930305215,0.410828747784482,1.48701864828993,0.0683351328898251,13,344.651614407084
"1","-3","4","4",0.545565153726903,1.85876320442384,-0.00901848769515273,0.100657647580047,0,0
"1","4","1","4",-0.894732370445775,-0.533511622557327,0.0845431672339683,0.901344754010688,4,2.36830348658885
"-2","4","-2","-3",-1.58508454601137,-1.4630053139637,-0.209856255581063,-2.07435710578248,2,0.000274832345013433
"4","-3","-2","4",-0.708812377543448,0.19001185659635,-2.5036769193942,-1.22856330352901,0,0
"1","4","-2","4",-2.50383802262021,0.408859856486245,1.42377023091782,0.643044318713195,1,0.181894182304908
"1","-3","1","-2",1.3674903724821,-1.05084920156579,1.49181340027501,-0.359762914149102,0,0
"4","4","4","4",-0.420536038385331,-1.47707027182149,0.734685066815896,0.294035585624334,4,13.8175475650525
"4","-2","1","4",-0.661645072686278,-0.576674865493552,-1.33338937340934,-1.1252684881353,1,0.12993487295972
"-2","4","1","4",0.932384888818614,1.77117352410116,2.60282460049519,0.642265650260659,9,12.5321931559621
"-2","4","4","1",-1.2458531848608,-1.47268520164265,-0.105240173707787,-1.10673758007352,1,0.00261806240986557
"-2","4","4","1",1.215517330541,0.219848838271204,0.762244127472259,-0.884840391702577,3,0.642794607903656
"4","-2","4","1",3.17835548451733,-0.742825654920054,0.378846711251044,-1.55409514369168,4,0.677641239864376
"-3","4","4","-2",-0.755321466402999,0.422982143704744,0.601473347948315,-0.12667898859378,1,0.00485609233870307
"4","4","1","4",-0.852766585481755,-0.523693152451,-0.26875366431386,2.38266415581726,12,60.2711583706251
